Action,Area,Status,Priority,Person Responsible,Start Date,End Date,Result,Remarks
sitemap.xml,SEO,Done,P2,Web Dev,,2026-04-22,Auto-generated by build_pages.py — 50 URLs; placeholder canonical https://hellomedia.site/,Swap canonical when Management confirms domain
robots.txt,SEO,Done,P2,Web Dev,,2026-04-22,Allow all; disallows /motion-preview/ (private QA); references sitemap,
Schema.org JSON-LD (Organization + LocalBusiness),SEO,To Do,P2,Web Dev,,,Addresses + domain needed,
manifest.webmanifest + PNG icons (180 / 192 / 512),Engineering,Done,P3,Web Dev,,2026-04-22,PNGs generated via cairosvg; manifest + apple-touch-icon wired into every page shell,
Swap in licensed brand fonts,Design,To Do,P2,Web Dev,,,Font files needed,
Replace stand-in logo with pixel-perfect vector,Design,To Do,P2,Web Dev,,,Clean SVG export needed,
Populate client logos on Whom we love,Content,To Do,P1,Web Dev,,,Logos needed,
Wire real addresses into map tooltips,Engineering,To Do,P1,Web Dev,,,Addresses needed,
Country pages (UAE / UK / USA / Brazil / China / Egypt),Engineering,Done,P2,Web Dev,,2026-04-22,"6 pages scaffolded at /where-we-are/<country>/; indicative address + placeholder phone; map pins link via ""Visit →""",UAE awaits real content from Management
Legal page: populate Privacy,Legal,To Do,P1,Web Dev,,,Text needed,
Legal page: populate Terms,Legal,To Do,P1,Web Dev,,,Text needed,
Legal page: populate Cookies,Legal,To Do,P2,Web Dev,,,Text needed,
Legal page: populate Copyright,Legal,To Do,P2,Web Dev,,,Text needed,
FAQ — populate Q&A,Content,To Do,P3,Web Dev,,,Q&A needed,Chaadi: deferred via CMS
Team page — build layout + populate,Content,To Do,P1,Web Dev,,,Photos + bios needed,
Awards page — populate,Content,To Do,P2,Web Dev,,,Awards list + mock images needed,
Social media icons in footer,Content,Done,P2,Web Dev,,2026-04-22,9-icon row (FB/IG/Snap/X/TikTok/YT/Pinterest/Flickr/LinkedIn) above footer bottom,Handles still # — swap when Marketing provides active URLs
Longer-form copy: E-Marketing service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Web Solutions service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Mobile App Dev service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: AI service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: SEO service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Web App service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Domain & Hosting service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Branding service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Creative & Printing service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Video Production service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Audio Production service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Copywriting service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: PR service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Photography & Media Buy page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Packaging service page,Content,To Do,P3,Web Dev,,,,
Longer-form copy: Crisis Management service page,Content,To Do,P3,Web Dev,,,,
CMS choice (decision needed before Phase 2),Engineering,To Do,P1,Tech + Management,,,,Chaadi mentioned 'CMS' multiple times — currently site is static; needs decision
Arabic version / hreflang,Engineering,To Do,P3,Web Dev,,,Go / no-go from Management,Defer unless launch requires
Motion language audit + private preview page,Engineering,Done,P2,Web Dev,,2026-04-22,"/motion-preview/ live (noindex, nofollow); showcases Pause / Smile / Wink / Pixel / Reveal + intro replay",Ask Chaadi to review and confirm prefers-reduced-motion isn't on at his end
Image focal-point metadata system,Engineering,Done,P3,Web Dev,,2026-04-22,FOCAL_POINTS dict in scripts/build_pages.py emits inline object-position per image; defaults to center,Graphics can override per-image without touching CSS
Cookie link + 'you agree' clause in terms stub,Legal,Done,P2,Web Dev,,2026-04-22,"Terms stub now carries a ""by using this site you agree"" clause; footer ""Cookies"" link renamed ""Cookie statement""",Still awaiting full Legal sign-off on policy text
Case study placeholder seed (/what-we-did/sample/),Content,Done,P2,Web Dev,,2026-04-22,Template-fill placeholder so Chaadi can review the layout before real case study lands,Swap when Case study 1 content arrives
